"schoolid" "id" "name" "type" "black09" "size09" "lep09" "lowinc09" "rwarnp" "rbelowp" "rmeetp" "rexceedp" "mwarnp" "mbelowp" "mmeetp" "mexceedp" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"23" "0107500300002" "010750030260002" "Pleasant Hill High School        " "00" 0 62 0 30 NA NA NA NA NA NA NA NA "PLEASANT HILL HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.440346 -90.867238 "*0107500300002" "01-075-0030-26" 1718 "2-No" "PIKE COUNTY"
"24" "0107500302001" "010750030262001" "Pleasant Hill Elem School        " "02" 0.5 177 0 35.3 0 5.9 64.7 29.4 0 0 82.4 17.6 "PLEASANT HILL ELEM SCHOOL" "Illinois" "2-No" "2-No" 39.440346 -90.867238 "*0107500302001" "01-075-0030-26" 1718 "1-Yes" "PIKE COUNTY"
"25" "0107500400002" "010750040260002" "Griggsville-Perry High School    " "00" 0 84 0 43.4 NA NA NA NA NA NA NA NA "GRIGGSVILLE-PERRY HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.70981 -90.725187 "*0107500400002" "01-075-0040-26" 1718 "2-No" "PIKE COUNTY"
"26" "0107500401002" "010750040261002" "Griggsville-Perry Middle School  " "01" 0 76 0 48.2 NA NA NA NA NA NA NA NA "GRIGGSVILLE-PERRY MIDDLE SCHOOL" "Illinois" "2-No" "2-No" 39.784429 -90.744384 "*0107500401002" "01-075-0040-26" 1718 "2-No" "PIKE COUNTY"
"27" "0107500402001" "010750040262001" "Griggsville-Perry Primary School " "02" 1.5 162 0 50.2 0 34.9 48.8 16.3 2.3 27.3 50 20.5 "GRIGGSVILLE-PERRY PRIMARY SCHOOL" "Illinois" "2-No" "2-No" 39.70981 -90.725187 "*0107500402001" "01-075-0040-26" 1718 "1-Yes" "PIKE COUNTY"
"28" "0107501000009" "010750100260009" "Pittsfield High School           " "00" 0 361 0 21.9 NA NA NA NA NA NA NA NA "PITTSFIELD HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.599894 -90.80512 "*0107501000009" "01-075-0100-26" 1718 "2-No" "PIKE COUNTY"
"29" "0107501002007" "010750100262007" "Pittsfield South Elem School     " "02" 0.3 339 0 40.5 NA NA NA NA NA NA NA NA "PITTSFIELD SOUTH ELEM SCHOOL" "Illinois" "2-No" "2-No" 39.599089 -90.810044 "*0107501002007" "01-075-0100-26" 1718 "2-No" "PIKE COUNTY"
"30" "0107501002010" "010750100262010" "Pikeland Community School        " "02" 0.2 518 0 40 0 19.8 59.3 21 0 14.8 74.1 11.1 "PIKELAND COMMUNITY SCHOOL" "Illinois" "2-No" "2-No" 39.595953 -90.803206 "*0107501002010" "01-075-0100-26" 1718 "1-Yes" "PIKE COUNTY"
"31" "0107501200001" "010750120260001" "Western High School              " "00" 0 132 0 42.7 NA NA NA NA NA NA NA NA "WESTERN HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.696894 -91.044179 "*0107501200001" "01-075-0120-26" 1718 "2-No" "PIKE COUNTY"
"32" "0107501201001" "010750120261001" "Western Jr High School           " "01" 0 145 0.5 43 NA NA NA NA NA NA NA NA "WESTERN JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.70304 -91.147927 "*0107501201001" "01-075-0120-26" 1718 "1-Yes" "PIKE COUNTY"
