name,state,charter,magnet,latitude,longitude,idnumeric,schoolid,agencyid,code,grade4,county
ADOLPH LINK ELEM SCHOOL,Illinois,2-No,2-No,42.006382,-88.039127,0501605402023,*0501605402023,05-016-0540-04,1708,1-Yes,COOK COUNTY
AGASSIZ ELEM SCHOOL,Illinois,2-No,2-No,41.933943,-87.656055,1501629902052,*1501629902052,15-016-2990-25,1705,1-Yes,COOK COUNTY
AIR FORCE ACAD HIGH SCHOOL,Illinois,2-No,2-No,41.863400,-87.659678,1501629900848,*1501629900848,15-016-2990-25,1707,2-No,COOK COUNTY
AKIN COMM CONS ELEM SCHOOL,Illinois,2-No,2-No,37.987042,-88.751090,2102809102001,*2102809102001,21-028-0910-04,1712,1-Yes,FRANKLIN COUNTY
ALAN B SHEPARD ELEM SCHOOL,Illinois,2-No,2-No,41.161495,-87.877670,3204605302003,*3204605302003,32-046-0530-02,1702,1-Yes,KANKAKEE COUNTY
ALAN B SHEPARD MIDDLE SCHOOL,Illinois,2-No,2-No,42.161142,-87.851783,3404910901005,*3404910901005,34-049-1090-02,1710,2-No,LAKE COUNTY
ALBANY PARK MULTICULTURAL ELEM,Illinois,2-No,2-No,41.972954,-87.713620,1501629902850,*1501629902850,15-016-2990-25,1705,2-No,COOK COUNTY
ALBERS ELEM SCHOOL,Illinois,2-No,2-No,38.544513,-89.613496,1301406302001,*1301406302001,13-014-0630-02,1715,1-Yes,CLINTON COUNTY
ALBERT CASSENS ELEMENTARY,Illinois,2-No,2-No,38.752172,-89.933568,4105700702012,*4105700702012,41-057-0070-26,1713,1-Yes,MADISON COUNTY
ALBERT EINSTEIN ELEM SCHOOL,Illinois,2-No,2-No,42.015153,-88.136069,0501605402026,*0501605402026,05-016-0540-04,1708,1-Yes,COOK COUNTY
ALBION GRADE SCHOOL,Illinois,2-No,2-No,38.375682,-88.067611,2002400102001,*2002400102001,20-024-0010-26,1715,1-Yes,EDWARDS COUNTY
ALCOTT ELEM SCHOOL,Illinois,2-No,2-No,41.929442,-87.646241,1501629902053,*1501629902053,15-016-2990-25,1705,1-Yes,COOK COUNTY
ALCOTT HUMANITIES HIGH SCHOOL,Illinois,2-No,2-No,41.935128,-87.680568,1501629900849,*1501629900849,15-016-2990-25,1705,2-No,COOK COUNTY
ALDEN HEBRON ELEM SCHOOL,Illinois,2-No,2-No,42.465570,-88.431005,4406301902001,*4406301902001,44-063-0190-24,1714,1-Yes,MCHENRY COUNTY
ALDEN-HEBRON HIGH SCHOOL,Illinois,2-No,2-No,42.465568,-88.430986,4406301900002,*4406301900002,44-063-0190-24,1714,2-No,MCHENRY COUNTY
ALDEN-HEBRON MIDDLE SCHOOL,Illinois,2-No,2-No,42.464465,-88.429464,4406301901001,*4406301901001,44-063-0190-24,1714,2-No,MCHENRY COUNTY
ALDRIDGE ELEM SCHOOL,Illinois,2-No,2-No,41.657818,-87.606962,1501629902054,*1501629902054,15-016-2990-25,1702,1-Yes,COOK COUNTY
ALEX M MARTINO JR HIGH SCHOOL,Illinois,2-No,2-No,41.506200,-87.947010,5609912201005,*5609912201005,56-099-1220-02,1701,2-No,WILL COUNTY
ALEXANDER ELEM SCHOOL,Illinois,2-No,2-No,39.725271,-90.038749,4606900102004,*4606900102004,46-069-0010-26,1718,1-Yes,MORGAN COUNTY
ALGONQUIN LAKES ELEM SCH,Illinois,2-No,2-No,42.149212,-88.272658,3104530002001,*3104530002001,31-045-3000-26,1706,1-Yes,KANE COUNTY
ALGONQUIN MIDDLE SCHOOL,Illinois,2-No,2-No,42.030274,-87.905384,0501606201001,*0501606201001,05-016-0620-04,1709,2-No,COOK COUNTY
ALGONQUIN MIDDLE SCHOOL,Illinois,2-No,2-No,42.158350,-88.283053,3104530001004,*3104530001004,31-045-3000-26,1706,2-No,MCHENRY COUNTY
ALGONQUIN PRIMARY CNTR,Illinois,2-No,2-No,41.494196,-87.666518,0701616302001,*0701616302001,07-016-1630-02,1702,2-No,COOK COUNTY
ALGONQUIN ROAD ELEM SCHOOL,Illinois,2-No,2-No,42.190041,-88.227628,4406300302001,*4406300302001,44-063-0030-03,1706,1-Yes,MCHENRY COUNTY
ALHAMBRA PRIMARY SCHOOL,Illinois,2-No,2-No,38.888100,-89.736060,4105700502004,*4105700502004,41-057-0050-26,1715,2-No,MADISON COUNTY
ALICE GUSTAFSON ELEM SCHOOL,Illinois,2-No,2-No,41.838411,-88.321882,3104510102003,*3104510102003,31-045-1010-22,1714,1-Yes,KANE COUNTY
