name,state,charter,magnet,latitude,longitude,idnumeric,schoolid,agencyid,code,grade4,county
COLUMBIA MIDDLE SCHOOL,Illinois,2-No,2-No,38.444332,-90.213755,4506700401001,*4506700401001,45-067-0040-26,1712,2-No,MONROE COUNTY
COLUMBUS  EAST ELEM SCHOOL,Illinois,2-No,2-No,41.836247,-87.759188,0601609902003,*0601609902003,06-016-0990-02,1704,1-Yes,COOK COUNTY
COLUMBUS ELEM SCHOOL,Illinois,2-No,2-No,41.899644,-87.681518,1501629902138,*1501629902138,15-016-2990-25,1707,1-Yes,COOK COUNTY
COLUMBUS ELEM SCHOOL,Illinois,2-No,2-No,38.815520,-89.955340,4105700702003,*4105700702003,41-057-0070-26,1713,1-Yes,MADISON COUNTY
COLUMBUS MANOR ELEM SCHOOL,Illinois,2-No,2-No,41.715031,-87.767837,0701612202001,*0701612202001,07-016-1220-02,1703,1-Yes,COOK COUNTY
COLUMBUS WEST ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.836116,-87.760006,0601609902015,*0601609902015,06-016-0990-02,1704,1-Yes,COOK COUNTY
COMM H S DIST 99 - NORTH H S,Illinois,2-No,2-No,41.805228,-88.012460,1902209900001,*1902209900001,19-022-0990-16,1706,2-No,DUPAGE COUNTY
COMM H S DIST 99 - SOUTH HIGH SCH,Illinois,2-No,2-No,41.770932,-88.019502,1902209900002,*1902209900002,19-022-0990-16,1706,2-No,DUPAGE COUNTY
COMMUNITY CONS SCHOOL,Illinois,2-No,2-No,38.083470,-89.317117,3007320402001,*3007320402001,30-073-2040-04,1712,1-Yes,PERRY COUNTY
COMMUNITY HIGH SCHOOL,Illinois,2-No,2-No,41.879605,-88.205665,1902209400001,*1902209400001,19-022-0940-16,1706,2-No,DUPAGE COUNTY
COMMUNITY SERVICES WEST HIGH SCH,Illinois,2-No,2-No,41.865439,-87.725059,1501629900846,*1501629900846,15-016-2990-25,1707,2-No,COOK COUNTY
CONCORD ELEM SCHOOL,Illinois,2-No,2-No,41.741753,-87.970294,1902206302002,*1902206302002,19-022-0630-02,1711,1-Yes,DUPAGE COUNTY
CONGERVILLE ELEM SCHOOL,Illinois,2-No,2-No,40.617992,-89.199022,4310214002004,*4310214002004,43-102-1400-26,1718,1-Yes,WOODFORD COUNTY
CONGRESS PARK ELEM SCHOOL,Illinois,2-No,2-No,41.812404,-87.854341,0601610202001,*0601610202001,06-016-1020-02,1703,1-Yes,COOK COUNTY
CONKLIN ELEM SCHOOL,Illinois,2-No,2-No,42.310834,-89.103842,0410120502022,*0410120502022,04-101-2050-25,1717,1-Yes,WINNEBAGO COUNTY
CONLEY ELEMENTARY SCHOOL,Illinois,2-No,2-No,42.160561,-88.377256,4406315802007,*4406315802007,44-063-1580-22,1714,1-Yes,MCHENRY COUNTY
CONNECTIONS - HIGH SCHOOL LEVEL,Illinois,2-No,2-No,40.309110,-88.155858,0901000006102,*0901000006102,09-010-0000-61,1715,2-No,CHAMPAIGN COUNTY
CONNOR SHAW CENTER,Illinois,2-No,2-No,41.330505,-87.793026,56099207U2001,*56099207U2001,56-099-207U-26,1702,2-No,WILL COUNTY
CONRAD FISCHER ELEM SCHOOL,Illinois,2-No,2-No,41.926737,-87.934158,1902220502003,*1902220502003,19-022-2050-26,1705,1-Yes,DUPAGE COUNTY
COOK ELEM SCHOOL,Illinois,2-No,2-No,41.745769,-87.659894,1501629902139,*1501629902139,15-016-2990-25,1701,1-Yes,COOK COUNTY
COOKE SCHOOL,Illinois,2-No,2-No,40.936773,-90.382843,3304820502022,*3304820502022,33-048-2050-26,1717,1-Yes,KNOX COUNTY
COOLIDGE ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.570693,-87.532816,0701615802001,*0701615802001,07-016-1580-02,1702,1-Yes,COOK COUNTY
COOLIDGE MIDDLE SCHOOL,Illinois,2-No,2-No,41.607524,-87.626726,0701615101001,*0701615101001,07-016-1510-02,1702,2-No,COOK COUNTY
COOLIDGE MIDDLE SCHOOL,Illinois,2-No,2-No,38.721148,-90.125479,4105700901003,*4105700901003,41-057-0090-26,1712,2-No,MADISON COUNTY
COOLIDGE RSSP,Illinois,2-No,2-No,41.491489,-90.488332,4900000009302,*4900000009302,49-000-0000-00,1717,2-No,ROCK ISLAND COUNTY
COONLEY ELEM SCHOOL,Illinois,2-No,2-No,41.955545,-87.684051,1501629902141,*1501629902141,15-016-2990-25,1705,1-Yes,COOK COUNTY
COOPER ELEM DUAL LANGUAGE ACADEMY,Illinois,2-No,2-No,41.856112,-87.667138,1501629902142,*1501629902142,15-016-2990-25,1704,1-Yes,COOK COUNTY
COOPER MIDDLE SCHOOL,Illinois,2-No,2-No,42.150108,-87.983060,0501602101002,*0501602101002,05-016-0210-04,1708,2-No,COOK COUNTY
COPE ALTERNATIVE SCHOOL,Illinois,2-No,2-No,37.756063,-89.341421,3000000009301,*3000000009301,30-000-0000-00,1712,2-No,JACKSON COUNTY
COPELAND MANOR ELEM SCHOOL,Illinois,2-No,2-No,42.274156,-87.943866,3404907002004,*3404907002004,34-049-0700-02,1710,1-Yes,LAKE COUNTY
CORETTA SCOTT KING MAGNET SCH,Illinois,2-No,1-Yes,41.434555,-87.678193,56099201U2008,*56099201U2008,56-099-201U-26,1702,1-Yes,WILL COUNTY
CORKERY ELEM SCHOOL,Illinois,2-No,2-No,41.845554,-87.732272,1501629902145,*1501629902145,15-016-2990-25,1704,1-Yes,COOK COUNTY
CORLISS HIGH SCHOOL,Illinois,2-No,2-No,41.706533,-87.602607,1501629900543,*1501629900543,15-016-2990-25,1702,2-No,COOK COUNTY
CORNELL ELEM SCHOOL,Illinois,2-No,2-No,40.991790,-88.727576,1705342602001,*1705342602001,17-053-4260-04,1716,1-Yes,LIVINGSTON COUNTY
CORRON ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.984033,-88.349855,3104530302013,*3104530302013,31-045-3030-26,1706,1-Yes,KANE COUNTY
CORTLAND ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.918350,-88.690720,1601942802009,*1601942802009,16-019-4280-26,1714,1-Yes,DEKALB COUNTY
COSSITT AVE ELEM SCHOOL,Illinois,2-No,2-No,41.812761,-87.871720,0601610202002,*0601610202002,06-016-1020-02,1703,1-Yes,COOK COUNTY
COSTELLO SCHOOL,Illinois,2-No,2-No,41.806547,-87.828423,0601610302008,*0601610302008,06-016-1030-02,1703,1-Yes,COOK COUNTY
COTTAGE GROVE UPPER GRADE CENTER,Illinois,2-No,2-No,41.505615,-87.595973,0701616901001,*0701616901001,07-016-1690-02,1702,2-No,COOK COUNTY
COTTON CREEK SCHOOL,Illinois,2-No,2-No,42.278173,-88.207578,3404911802007,*3404911802007,34-049-1180-26,1714,1-Yes,MCHENRY COUNTY
COULTERVILLE ELEMENTARY SCHOOL,Illinois,2-No,2-No,38.186377,-89.605877,4507900102001,*4507900102001,45-079-0010-22,1712,1-Yes,RANDOLPH COUNTY
COULTERVILLE HIGH SCHOOL,Illinois,2-No,2-No,38.186377,-89.605877,4507900100001,*4507900100001,45-079-0010-22,1712,2-No,RANDOLPH COUNTY
COULTERVILLE JUNIOR HIGH SCHOOL,Illinois,2-No,2-No,38.186377,-89.605877,4507900101002,*4507900101002,45-079-0010-22,1712,2-No,RANDOLPH COUNTY
COUNTRY MEADOWS ELEM SCHOOL,Illinois,2-No,2-No,42.217153,-88.012030,3404909602005,*3404909602005,34-049-0960-04,1706,1-Yes,LAKE COUNTY
COUNTRY TRAILS ELEM,Illinois,2-No,2-No,42.056350,-88.394010,3104530102007,*3104530102007,31-045-3010-26,1714,1-Yes,KANE COUNTY
COUNTRYSIDE ELEM SCHOOL,Illinois,2-No,2-No,42.153190,-88.176946,3404922002001,*3404922002001,34-049-2200-26,1706,1-Yes,COOK COUNTY
COURTENAY ELEM LANGUAGE ARTS CTR,Illinois,2-No,2-No,41.958079,-87.671949,1501629902921,*1501629902921,15-016-2990-25,1705,1-Yes,COOK COUNTY
COVENTRY ELEM SCHOOL,Illinois,2-No,2-No,42.217501,-88.328017,4406304702003,*4406304702003,44-063-0470-04,1706,1-Yes,MCHENRY COUNTY
COWDEN ELEMENTARY SCHOOL,Illinois,2-No,2-No,39.215162,-88.824530,11087003A2002,*11087003A2002,11-087-003A-26,1715,1-Yes,FAYETTE COUNTY
COWDEN-HERRICK HIGH SCHOOL,Illinois,2-No,2-No,39.242840,-88.862869,11087003A0001,*11087003A0001,11-087-003A-26,1715,2-No,SHELBY COUNTY
CRAB ORCHARD ELEMENTARY SCHOOL,Illinois,2-No,2-No,37.726387,-88.806495,2110000302001,*2110000302001,21-100-0030-26,1712,1-Yes,WILLIAMSON COUNTY
CRAB ORCHARD HIGH SCHOOL,Illinois,2-No,2-No,37.726387,-88.806495,2110000300001,*2110000300001,21-100-0030-26,1712,2-No,WILLIAMSON COUNTY
CRANE ACHIEVEMENT ACADEMY HS,Illinois,2-No,2-No,41.877150,-87.683203,1501629900815,*1501629900815,15-016-2990-25,1707,2-No,COOK COUNTY
CRANE TECHNICAL PREP HIGH SCHOOL,Illinois,2-No,2-No,41.877171,-87.683403,1501629900008,*1501629900008,15-016-2990-25,1707,2-No,COOK COUNTY
CRAWFORD MEMORIAL HOSPITAL,Illinois,2-No,2-No,39.014635,-87.749959,1200000004601,*1200000004601,12-000-0000-46,1715,2-No,CRAWFORD COUNTY
CREAL SPRINGS ELEM SCHOOL,Illinois,2-No,2-No,37.622811,-88.836907,2110000202003,*2110000202003,21-100-0020-26,1712,1-Yes,WILLIAMSON COUNTY
CREATIVE CENTER FOR CHILDREN,Illinois,2-No,2-No,39.610088,-87.679787,1102309503001,*1102309503001,11-023-0950-25,1715,2-No,EDGAR COUNTY
CREEKSIDE ELEM,Illinois,2-No,1-Yes,42.049014,-88.324387,3104504602052,*3104504602052,31-045-0460-22,1706,1-Yes,KANE COUNTY
CREEKSIDE ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.631508,-88.153340,5609920202011,*5609920202011,56-099-2020-22,1711,1-Yes,WILL COUNTY
CREEKSIDE MIDDLE SCHOOL,Illinois,2-No,2-No,42.279233,-88.443632,4406320001007,*4406320001007,44-063-2000-26,1714,2-No,MCHENRY COUNTY
CRESCENT CITY GRADE SCHOOL,Illinois,2-No,2-No,40.768237,-87.854840,3203824902001,*3203824902001,32-038-2490-26,1716,1-Yes,IROQUOIS COUNTY
CRESTON ELEM SCHOOL,Illinois,2-No,2-No,41.928700,-88.966800,4707116102001,*4707116102001,47-071-1610-04,1716,1-Yes,OGLE COUNTY
CRESTWOOD ELEM SCHOOL,Illinois,2-No,2-No,39.606664,-87.674032,1102300402001,*1102300402001,11-023-0040-26,1715,1-Yes,EDGAR COUNTY
CRESTWOOD JR HIGH SCHOOL,Illinois,2-No,2-No,39.606664,-87.674032,1102300401001,*1102300401001,11-023-0040-26,1715,2-No,EDGAR COUNTY
CRETE ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.446071,-87.628172,56099201U2004,*56099201U2004,56-099-201U-26,1702,1-Yes,WILL COUNTY
CRETE-MONEE EARLY CHILDHOOD CNTR,Illinois,2-No,2-No,41.439627,-87.642745,56099201U3001,*56099201U3001,56-099-201U-26,1702,2-No,WILL COUNTY
CRETE-MONEE HIGH SCHOOL,Illinois,2-No,2-No,41.441844,-87.649801,56099201U0001,*56099201U0001,56-099-201U-26,1702,2-No,WILL COUNTY
CRETE-MONEE MIDDLE SCHOOL,Illinois,2-No,2-No,41.426084,-87.679278,56099201U1002,*56099201U1002,56-099-201U-26,1702,2-No,WILL COUNTY
CRETE-MONEE SIXTH GRADE CNTR,Illinois,2-No,2-No,41.442444,-87.643001,56099201U2009,*56099201U2009,56-099-201U-26,1702,2-No,WILL COUNTY
CROSBY ELEM SCH,Illinois,2-No,2-No,42.402960,-88.619660,4406305002007,*4406305002007,44-063-0500-26,1714,2-No,MCHENRY COUNTY
CROSSVILLE ATTENDANCE CENTER,Illinois,2-No,2-No,38.167925,-88.063218,2009700502007,*2009700502007,20-097-0050-26,1715,1-Yes,WHITE COUNTY
CROW ISLAND ELEM SCHOOL,Illinois,2-No,2-No,42.100132,-87.746089,0501603602001,*0501603602001,05-016-0360-02,1709,1-Yes,COOK COUNTY
CROWN ELEM COMM ACD FINE ARTS CTR,Illinois,2-No,2-No,41.852376,-87.712488,1501629902147,*1501629902147,15-016-2990-25,1707,1-Yes,COOK COUNTY
CRYSTAL LAKE CENTRAL HIGH SCHOOL,Illinois,2-No,2-No,42.237223,-88.322509,4406315500001,*4406315500001,44-063-1550-16,1706,2-No,MCHENRY COUNTY
CRYSTAL LAKE SOUTH HIGH SCHOOL,Illinois,2-No,2-No,42.210722,-88.340867,4406315500003,*4406315500003,44-063-1550-16,1706,2-No,MCHENRY COUNTY
CRYSTAL LAWNS ELEM SCHOOL,Illinois,2-No,2-No,41.569401,-88.154082,5609920202004,*5609920202004,56-099-2020-22,1711,1-Yes,WILL COUNTY
CUBA ELEM SCHOOL,Illinois,2-No,2-No,40.492976,-90.191495,2202900302003,*2202900302003,22-029-0030-26,1717,1-Yes,FULTON COUNTY
CUBA MIDDLE SCHOOL,Illinois,2-No,2-No,40.479467,-90.186800,2202900301001,*2202900301001,22-029-0030-26,1717,2-No,FULTON COUNTY
CUBA SR HIGH SCHOOL,Illinois,2-No,2-No,40.479799,-90.187586,2202900300001,*2202900300001,22-029-0030-26,1717,2-No,FULTON COUNTY
CUFFE MATH-SCI TECH ELEM ACADEMY,Illinois,2-No,2-No,41.742448,-87.653623,1501629902617,*1501629902617,15-016-2990-25,1701,1-Yes,COOK COUNTY
CULLEN ELEM SCHOOL,Illinois,2-No,2-No,41.700253,-87.611599,1501629902637,*1501629902637,15-016-2990-25,1702,1-Yes,COOK COUNTY
CUMBERLAND ELEM SCHOOL,Illinois,2-No,2-No,42.055321,-87.905516,0501606202004,*0501606202004,05-016-0620-04,1710,1-Yes,COOK COUNTY
CUMBERLAND ELEM SCHOOL,Illinois,2-No,2-No,39.257258,-88.193590,1101807702003,*1101807702003,11-018-0770-26,1715,1-Yes,CUMBERLAND COUNTY
CUMBERLAND HIGH SCHOOL,Illinois,2-No,2-No,39.257522,-88.196523,1101807700001,*1101807700001,11-018-0770-26,1715,2-No,CUMBERLAND COUNTY
CUMBERLAND MIDDLE SCHOOL,Illinois,2-No,2-No,39.256850,-88.196745,1101807701001,*1101807701001,11-018-0770-26,1715,2-No,CUMBERLAND COUNTY
CURIE METROPOLITAN HIGH SCHOOL,Illinois,2-No,1-Yes,41.802023,-87.722419,1501629900617,*1501629900617,15-016-2990-25,1704,2-No,COOK COUNTY
CURRIER ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.856904,-88.191627,1902203302006,*1902203302006,19-022-0330-02,1714,1-Yes,DUPAGE COUNTY
CURTIS ELEM SCHOOL,Illinois,2-No,2-No,41.685518,-87.621798,1501629902799,*1501629902799,15-016-2990-25,1702,1-Yes,COOK COUNTY
CURTIS MILLER ALTERNATIVE HIGH SCHOOL,Illinois,2-No,2-No,38.587536,-90.116894,5008218903004,*5008218903004,50-082-1890-22,1712,2-No,ST. CLAIR COUNTY
CYD LASH ACADEMY,Illinois,2-No,2-No,42.355359,-87.983885,3404982506011,*3404982506011,34-049-8250-60,1710,2-No,LAKE COUNTY
CYPRESS ELEM SCHOOL,Illinois,2-No,2-No,37.371963,-89.020965,0204406402001,*0204406402001,02-044-0640-02,1715,1-Yes,JOHNSON COUNTY
DAHLGREN ELEM SCHOOL,Illinois,2-No,2-No,38.195171,-88.687180,2503301002002,*2503301002002,25-033-0100-26,1715,1-Yes,HAMILTON COUNTY
DAKOTA ELEMENTARY SCHOOL,Illinois,2-No,2-No,42.384562,-89.530492,0808920102003,*0808920102003,08-089-2010-26,1717,1-Yes,STEPHENSON COUNTY
DAKOTA JR SR HIGH SCHOOL,Illinois,2-No,2-No,42.386944,-89.530442,0808920100001,*0808920100001,08-089-2010-26,1717,2-No,STEPHENSON COUNTY
DALEY ELEM ACADEMY,Illinois,2-No,2-No,41.802495,-87.672206,1501629902837,*1501629902837,15-016-2990-25,1703,1-Yes,COOK COUNTY
DALLAS CITY ELEM SCHOOL,Illinois,2-No,2-No,40.625268,-91.156067,2603432702002,*2603432702002,26-034-3270-04,1718,1-Yes,HANCOCK COUNTY
DALZELL GRADE SCHOOL,Illinois,2-No,2-No,41.357292,-89.172927,2800609802001,*2800609802001,28-006-0980-02,1716,1-Yes,BUREAU COUNTY
DAMIANSVILLE ELEM SCHOOL,Illinois,2-No,2-No,38.509289,-89.623613,1301406202001,*1301406202001,13-014-0620-02,1715,1-Yes,CLINTON COUNTY
DAN H PIETRINI ELEM SCHOOL,Illinois,2-No,2-No,41.922638,-87.869132,0601608402004,*0601608402004,06-016-0840-02,1705,1-Yes,COOK COUNTY
DANIEL BURNHAM ELEM SCHOOL,Illinois,2-No,2-No,41.857058,-87.771589,0601609902001,*0601609902001,06-016-0990-02,1704,1-Yes,COOK COUNTY
DANIEL WEBSTER MIDDLE SCHOOL,Illinois,2-No,2-No,42.372837,-87.851043,3404906001003,*3404906001003,34-049-0600-26,1710,2-No,LAKE COUNTY
DANIEL WRIGHT JR HIGH SCHOOL,Illinois,2-No,2-No,42.211963,-87.907725,3404910301001,*3404910301001,34-049-1030-02,1710,2-No,LAKE COUNTY
DANIELLE-JOY PETERSON ELEM SCH,Illinois,2-No,2-No,41.693629,-88.231068,1902220402026,*1902220402026,19-022-2040-26,1714,1-Yes,WILL COUNTY
DANVILLE HIGH SCHOOL,Illinois,2-No,2-No,40.137455,-87.626558,5409211800022,*5409211800022,54-092-1180-24,1715,2-No,VERMILION COUNTY
DARWIN ELEM SCHOOL,Illinois,2-No,2-No,41.923544,-87.705138,1501629902148,*1501629902148,15-016-2990-25,1704,1-Yes,COOK COUNTY
DAVENPORT ELEM SCHOOL,Illinois,2-No,2-No,40.719145,-89.271738,4310214002003,*4310214002003,43-102-1400-26,1718,1-Yes,WOODFORD COUNTY
DAVENPORT ELEMENTARY SCHOOL,Illinois,2-No,2-No,42.099975,-88.693634,1601942402002,*1601942402002,16-019-4240-26,1716,2-No,DEKALB COUNTY
DAVID L RAHN JR HIGH SCHOOL,Illinois,2-No,2-No,42.044497,-89.434962,4707122001001,*4707122001001,47-071-2200-26,1716,2-No,OGLE COUNTY
DAVIE ELEM SCHOOL,Illinois,2-No,2-No,37.461066,-89.252097,0209103702002,*0209103702002,02-091-0370-04,1712,1-Yes,UNION COUNTY
DAVIS M MAGNET ELEM SCHOOL,Illinois,2-No,1-Yes,41.771034,-87.666439,1501629902954,*1501629902954,15-016-2990-25,1707,1-Yes,COOK COUNTY
DAVIS N ELEM SCHOOL,Illinois,2-No,2-No,41.822224,-87.700281,1501629902149,*1501629902149,15-016-2990-25,1704,1-Yes,COOK COUNTY
DAVIS PRIMARY SCHOOL,Illinois,2-No,2-No,41.902175,-88.320497,3104530302002,*3104530302002,31-045-3030-26,1714,2-No,KANE COUNTY
DAWES ELEM SCHOOL,Illinois,2-No,2-No,41.745279,-87.717261,1501629902150,*1501629902150,15-016-2990-25,1701,1-Yes,COOK COUNTY
DAWES ELEMENTARY SCHOOL,Illinois,2-No,2-No,42.025687,-87.700135,0501606502004,*0501606502004,05-016-0650-04,1709,1-Yes,COOK COUNTY
DAY TREATMENT,Illinois,2-No,2-No,40.672351,-89.639330,4807215003035,*4807215003035,48-072-1500-25,1717,1-Yes,PEORIA COUNTY
DD EISENHOWER HIGH SCH (CAMPUS),Illinois,2-No,2-No,41.661331,-87.696432,0701621800001,*0701621800001,07-016-2180-16,1701,2-No,COOK COUNTY
DE DIEGO ELEM COMMUNITY ACADEMY,Illinois,2-No,2-No,41.905213,-87.685684,1501629902825,*1501629902825,15-016-2990-25,1705,1-Yes,COOK COUNTY
DE KALB HIGH SCHOOL,Illinois,2-No,2-No,41.952407,-88.754254,1601942800011,*1601942800011,16-019-4280-26,1716,2-No,DEKALB COUNTY
DEAF/HARD OF HEARING /MN PRGMS,Illinois,2-No,2-No,41.868956,-88.004057,1902206606112,*1902206606112,19-022-0660-61,1708,1-Yes,DUPAGE COUNTY
DEAN STREET ELEM SCHOOL,Illinois,2-No,2-No,42.309703,-88.450934,4406320002003,*4406320002003,44-063-2000-26,1714,1-Yes,MCHENRY COUNTY
DECATUR CLASSICAL ELEM SCHOOL,Illinois,2-No,1-Yes,42.009492,-87.704695,1501629902805,*1501629902805,15-016-2990-25,1709,1-Yes,COOK COUNTY
DEE-MACK HIGH SCHOOL,Illinois,2-No,2-No,40.534478,-89.354677,5309070100001,*5309070100001,53-090-7010-26,1718,2-No,TAZEWELL COUNTY
DEE-MACK INTERMEDIATE SCHOOL,Illinois,2-No,2-No,40.632191,-89.330700,5309070102002,*5309070102002,53-090-7010-26,1718,1-Yes,TAZEWELL COUNTY
DEE-MACK PRIMARY/JR HIGH,Illinois,2-No,2-No,40.534529,-89.360556,5309070102003,*5309070102003,53-090-7010-26,1718,2-No,TAZEWELL COUNTY
DEER PARK C C ELEM SCHOOL,Illinois,2-No,2-No,41.273099,-88.966054,3505008202001,*3505008202001,35-050-0820-04,1716,1-Yes,LASALLE COUNTY
DEER PATH ELEM SCHOOL,Illinois,2-No,2-No,42.232992,-88.241508,4406302602005,*4406302602005,44-063-0260-04,1706,1-Yes,MCHENRY COUNTY
DEER PATH MIDDLE SCH EAST,Illinois,2-No,2-No,42.248444,-87.848679,3404906702007,*3404906702007,34-049-0670-05,1710,2-No,LAKE COUNTY
DEER PATH MIDDLE SCH WEST,Illinois,2-No,2-No,42.248244,-87.849958,3404906701003,*3404906701003,34-049-0670-05,1710,2-No,LAKE COUNTY
DEERFIELD HIGH SCHOOL,Illinois,2-No,2-No,42.186770,-87.852689,3404911300001,*3404911300001,34-049-1130-17,1710,2-No,LAKE COUNTY
DELACEY FAMILY EDUC CTR,Illinois,2-No,1-Yes,42.107990,-88.280680,3104530003001,*3104530003001,31-045-3000-26,1708,2-No,KANE COUNTY
DELAND-WELDON ELEM SCHOOL,Illinois,2-No,2-No,40.128996,-88.687598,3907405702002,*3907405702002,39-074-0570-26,1713,1-Yes,PIATT COUNTY
DELAND-WELDON HIGH SCHOOL,Illinois,2-No,2-No,40.128112,-88.686681,3907405700001,*3907405700001,39-074-0570-26,1713,2-No,PIATT COUNTY
DELAND-WELDON MIDDLE SCHOOL,Illinois,2-No,2-No,40.128538,-88.687604,3907405701001,*3907405701001,39-074-0570-26,1713,2-No,PIATT COUNTY
DELANO ELEM SCHOOL,Illinois,2-No,2-No,41.878514,-87.724037,1501629902152,*1501629902152,15-016-2990-25,1707,1-Yes,COOK COUNTY
DELAVAN ELEMENTARY SCHOOL,Illinois,2-No,2-No,40.366048,-89.548313,5309070302001,*5309070302001,53-090-7030-26,1718,1-Yes,TAZEWELL COUNTY
DELAVAN HIGH SCHOOL,Illinois,2-No,2-No,40.366048,-89.548313,5309070300001,*5309070300001,53-090-7030-26,1718,2-No,TAZEWELL COUNTY
DELAVAN JR HIGH SCHOOL,Illinois,2-No,2-No,40.366048,-89.548313,5309070301001,*5309070301001,53-090-7030-26,1718,2-No,TAZEWELL COUNTY
DELHI ELEMENTARY SCHOOL,Illinois,2-No,2-No,39.043338,-90.259282,4004210002003,*4004210002003,40-042-1000-26,1713,1-Yes,JERSEY COUNTY
DELORES MOYE ELEM SCHOOL,Illinois,2-No,2-No,38.623303,-89.886695,5008209002006,*5008209002006,50-082-0900-04,1712,1-Yes,ST. CLAIR COUNTY
DELTA LEARNING CENTER,Illinois,2-No,2-No,41.642748,-87.717116,0701621803001,*0701621803001,07-016-2180-16,1701,2-No,COOK COUNTY
DENEEN ELEM SCHOOL,Illinois,2-No,2-No,41.762293,-87.623467,1501629902153,*1501629902153,15-016-2990-25,1701,1-Yes,COOK COUNTY
DENKMANN ELEM SCHOOL,Illinois,2-No,2-No,41.490506,-90.544107,4908104102007,*4908104102007,49-081-0410-25,1717,1-Yes,ROCK ISLAND COUNTY
DENNING ELEMENTARY SCHOOL,Illinois,2-No,2-No,37.905372,-88.944331,2102816802003,*2102816802003,21-028-1680-26,1712,2-No,FRANKLIN COUNTY
DENNIS ELEM SCHOOL,Illinois,2-No,2-No,39.840292,-88.981692,3905506102004,*3905506102004,39-055-0610-25,1713,1-Yes,MACON COUNTY
DEPRIEST ELEM SCHOOL,Illinois,2-No,2-No,41.878099,-87.766002,1501629902605,*1501629902605,15-016-2990-25,1707,1-Yes,COOK COUNTY
DEPUE ELEM SCHOOL,Illinois,2-No,2-No,41.322390,-89.307270,2800610302001,*2800610302001,28-006-1030-22,1716,1-Yes,BUREAU COUNTY
DEPUE HIGH SCHOOL,Illinois,2-No,2-No,41.322780,-89.307210,2800610300001,*2800610300001,28-006-1030-22,1716,2-No,BUREAU COUNTY
DESOTO ELEMENTARY SCHOOL,Illinois,2-No,2-No,37.819377,-89.223461,3003908602001,*3003908602001,30-039-0860-03,1712,1-Yes,JACKSON COUNTY
DETT ELEM SCHOOL,Illinois,2-No,2-No,41.884314,-87.684278,1501629902154,*1501629902154,15-016-2990-25,1707,1-Yes,COOK COUNTY
DEVELOPMENTAL LEARNING PGM   DLP,Illinois,2-No,2-No,41.624230,-87.701791,0701612756102,*0701612756102,07-016-1275-61,1701,1-Yes,COOK COUNTY
DEVER ELEM SCHOOL,Illinois,2-No,2-No,41.942544,-87.813521,1501629902158,*1501629902158,15-016-2990-25,1705,1-Yes,COOK COUNTY
DEVONSHIRE ELEM SCHOOL,Illinois,2-No,2-No,42.045346,-87.737620,0501606802001,*0501606802001,05-016-0680-02,1709,1-Yes,COOK COUNTY
DEVONSHIRE SCHOOL,Illinois,2-No,2-No,42.027043,-87.925967,0501605902006,*0501605902006,05-016-0590-04,1709,1-Yes,COOK COUNTY
DEVRY ADVANTAGE ACADEMY HIGH SCHL,Illinois,2-No,2-No,41.941039,-87.691119,1501629900832,*1501629900832,15-016-2990-25,1705,2-No,COOK COUNTY
DEWEY ELEM ACADEMY OF FINE ARTS,Illinois,2-No,2-No,41.795845,-87.642333,1501629902159,*1501629902159,15-016-2990-25,1707,1-Yes,COOK COUNTY
DEWEY ELEM SCHOOL,Illinois,2-No,2-No,42.045916,-87.691281,0501606502005,*0501606502005,05-016-0650-04,1709,1-Yes,COOK COUNTY
DEWEY ELEMENTARY SCHOOL,Illinois,2-No,2-No,39.943862,-91.382428,0100117202006,*0100117202006,01-001-1720-22,1718,2-No,ADAMS COUNTY
DIAGNOSTIC & DEVELOPMENTAL CTR,Illinois,2-No,2-No,39.471031,-88.360892,1101580106001,*1101580106001,11-015-8010-60,1715,1-Yes,COLES COUNTY
DIAMOND LAKE ELEM SCHOOL,Illinois,2-No,2-No,42.238235,-88.003341,3404907602003,*3404907602003,34-049-0760-02,1710,1-Yes,LAKE COUNTY
DIEKMAN ELEM SCHOOL,Illinois,2-No,2-No,41.619980,-87.582781,0701614902002,*0701614902002,07-016-1490-02,1702,1-Yes,COOK COUNTY
DIETERICH ELEM SCHOOL,Illinois,2-No,2-No,39.057990,-88.382340,0302503002002,*0302503002002,03-025-0300-26,1715,1-Yes,EFFINGHAM COUNTY
DIETERICH JR/SR HIGH SCHOOL,Illinois,2-No,2-No,39.057538,-88.380203,0302503000001,*0302503000001,03-025-0300-26,1715,2-No,EFFINGHAM COUNTY
DILLON ELEMENTARY SCHOOL,Illinois,2-No,2-No,41.763271,-89.699914,5509801302001,*5509801302001,55-098-0130-02,1717,2-No,WHITESIDE COUNTY
DIMMICK COMM CONS SCHOOL,Illinois,2-No,2-No,41.412323,-89.108222,3505017502001,*3505017502001,35-050-1750-04,1716,1-Yes,LASALLE COUNTY
DIRKSEN ELEM SCHOOL,Illinois,2-No,2-No,41.973168,-87.841332,1501629902603,*1501629902603,15-016-2990-25,1705,1-Yes,COOK COUNTY
