"key" "current" "open" "enrolled" "grades" "grade4" "latitude" "longitude"
"82" "cs82" "y" 2007 266 "9 to 10" 0 41.8952425 -87.6644564
"83" "cs83" "y" 2014 0 "9" 0 41.924839 -87.770264
"84" "cs84" "y" 2010 150 "9" 0 41.7788172 -87.6350635
"85" "cs85" "y" 2009 150 "9" 0 41.882393 -87.627022
"86" "cs86" "y" 2014 0 "9" 0 41.882656 -87.62738
"87" "cs87" "y" 2006 266 "9 to 11" 0 41.9152524 -87.7303328
"88" "cs88" "y" 2006 266 "9 to 11" 0 41.8924718 -87.6610346
"89" "cs89" "y" 2008 180 "9" 0 41.8656698 -87.6761737
"90" "cs90" "n" 1999 266 "9 to 12" 0 41.9000188 -87.6625789
"91" "cs91" "y" 1998 399 "9 to 12" 0 41.8585566 -87.7090254
"92" "cs92" "y" 2007 135 "9" 0 41.863754 -87.7019926
"93" "cs93" "y" 2001 229 "K to 5" 1 41.9834 -87.6711063
"94" "cs94" "y" 2007 344 "9 to 11" 0 41.7462578 -87.6523329
"95" "cs95" "y" 2008 520 "6 to 7" 0 41.827671 -87.624374
"96" "cs96" "y" 2007 457 "9 to 12" 0 41.7462578 -87.6523329
"97" "cs97" "y" 2007 378 "7 to 8" 0 41.7462578 -87.6523329
"98" "cs98" "y" 1997 433 "6 to 12" 0 41.855869 -87.633507
"99" "cs99" "y" 2007 150 "K to 2" 0 41.89241 -87.70826
"100" "cs100" "y" 1999 360 "K to 8" 1 42.3309258 -88.0073433
"101" "cs101" "y" 2006 200 "K to 7" 1 41.7754805 -87.6640581
"102" "cs102" "y" 2010 225 "5 to 7" 0 40.719048 -89.599335
"103" "cs103" "y" 2001 233 "K to 8" 1 39.8584863 -88.9256459
"104" "cs104" "n" 2011 0 "K to 8" 1 41.686924 -87.619949
"105" "cs105" "y" 2010 254 "PK to 3" 0 41.906101 -87.663269
"106" "cs106" "y" 2007 662 "9 to 12" 0 41.8954322 -87.7178887
"107" "cs107" "y" 1999 100 "9 to 12" 0 38.6224848 -90.163435
"108" "cs108" "y" 2010 125 "9" 0 41.483486 -87.728035
"109" "cs109" "y" 1998 457 "PK to 8" 1 39.7798801 -89.6168733
"110" "cs110" "n" 2002 125 "9 to 12" 0 38.6222454 -90.1440038
"111" "cs111" "y" 2008 425 "6 to 8" 0 41.8141439 -87.6083326
"112" "cs112" "y" 2005 237 "PK to 4" 1 41.8277782 -87.6085163
"113" "cs113" "y" 1998 340 "PK to 5" 1 41.8114121 -87.5986907
"114" "cs114" "y" 2006 160 "6 to 9" 0 41.7781265 -87.5981361
"115" "cs115" "n" 2011 600 "K to 8" 1 41.8830995 -87.6513592
