"schoolid" "id" "name" "type" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "school" "state" "charter" "magnet" "latitude" "longitude" "schoolid2" "agencyid" "congress" "grade4" "county"
"21" "0100117202017" "010011720222017" "Washington Elementary School     " "02" 29.6 234 0 95.3 NA NA NA NA NA NA NA NA "WASHINGTON ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 39.948814 -91.402741 "*0100117202017" "01-001-1720-22" 1718 "2-No" "ADAMS COUNTY"
"22" "0100117202019" "010011720222019" "Baldwin Intermediate             " "02" 8.5 989 0.2 52.7 0.6 23.6 46.7 29.1 1.3 16 62.8 20 "BALDWIN INTERMEDIATE" "Illinois" "2-No" "2-No" 39.930076 -91.366254 "*0100117202019" "01-001-1720-22" 1718 "1-Yes" "ADAMS COUNTY"
"23" "0107500300002" "010750030260002" "Pleasant Hill High School        " "00" 0 57 0 22.3 NA NA NA NA NA NA NA NA "PLEASANT HILL HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.440346 -90.867238 "*0107500300002" "01-075-0030-26" 1718 "2-No" "PIKE COUNTY"
"24" "0107500302001" "010750030262001" "Pleasant Hill Elem School        " "02" 0.9 190 0 45.9 0 7.7 53.8 38.5 0 0 69.2 30.8 "PLEASANT HILL ELEM SCHOOL" "Illinois" "2-No" "2-No" 39.440346 -90.867238 "*0107500302001" "01-075-0030-26" 1718 "1-Yes" "PIKE COUNTY"
"25" "0107500400002" "010750040260002" "Griggsville-Perry High School    " "00" 0.9 74 0 42 NA NA NA NA NA NA NA NA "GRIGGSVILLE-PERRY HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.70981 -90.725187 "*0107500400002" "01-075-0040-26" 1718 "2-No" "PIKE COUNTY"
"26" "0107500401002" "010750040261002" "Griggsville-Perry Middle School  " "01" 0.8 87 0 49.2 NA NA NA NA NA NA NA NA "GRIGGSVILLE-PERRY MIDDLE SCHOOL" "Illinois" "2-No" "2-No" 39.784429 -90.744384 "*0107500401002" "01-075-0040-26" 1718 "2-No" "PIKE COUNTY"
"27" "0107500402001" "010750040262001" "Griggsville-Perry Primary School " "02" 4.8 128 0 59.9 0 38.7 38.7 22.6 0 6.5 74.2 19.4 "GRIGGSVILLE-PERRY PRIMARY SCHOOL" "Illinois" "2-No" "2-No" 39.70981 -90.725187 "*0107500402001" "01-075-0040-26" 1718 "1-Yes" "PIKE COUNTY"
"28" "0107501000009" "010750100260009" "Pittsfield High School           " "00" 0.2 368 0.2 37 NA NA NA NA NA NA NA NA "PITTSFIELD HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.599894 -90.80512 "*0107501000009" "01-075-0100-26" 1718 "2-No" "PIKE COUNTY"
"29" "0107501002007" "010750100262007" "Pittsfield South Elem School     " "02" 0 339 0 52.5 NA NA NA NA NA NA NA NA "PITTSFIELD SOUTH ELEM SCHOOL" "Illinois" "2-No" "2-No" 39.599089 -90.810044 "*0107501002007" "01-075-0100-26" 1718 "2-No" "PIKE COUNTY"
"30" "0107501002010" "010750100262010" "Pikeland Community School        " "02" 0 520 0 52 0 20.5 39.8 39.8 0 7.2 63.9 28.9 "PIKELAND COMMUNITY SCHOOL" "Illinois" "2-No" "2-No" 39.595953 -90.803206 "*0107501002010" "01-075-0100-26" 1718 "1-Yes" "PIKE COUNTY"
"31" "0107501200001" "010750120260001" "Western High School              " "00" 0 141 0 43.9 NA NA NA NA NA NA NA NA "WESTERN HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.696894 -91.044179 "*0107501200001" "01-075-0120-26" 1718 "2-No" "PIKE COUNTY"
"32" "0107501201001" "010750120261001" "Western Jr High School           " "01" 0 179 0.5 51.4 NA NA NA NA NA NA NA NA "WESTERN JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 39.70304 -91.147927 "*0107501201001" "01-075-0120-26" 1718 "1-Yes" "PIKE COUNTY"
"33" "0107501202001" "010750120262001" "Western Barry Elem               " "02" 0 226 0.8 47 0 27.5 47.1 25.5 2 10 68 20 "WESTERN BARRY ELEM" "Illinois" "2-No" "2-No" 39.697583 -91.044594 "*0107501202001" "01-075-0120-26" 1718 "1-Yes" "PIKE COUNTY"
"34" "0200200100001" "020020010220001" "Cairo Jr/Sr High School          " "00" 87.7 148 0 99.5 NA NA NA NA NA NA NA NA "CAIRO JR/SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.019583 -89.187837 "*0200200100001" "02-002-0010-22" 1712 "2-No" "ALEXANDER COUNTY"
"35" "0200200102004" "020020010222004" "Cairo Elementary School          " "02" 83.3 235 0 99.6 2.8 58.3 36.1 2.8 0 19.4 75 5.6 "CAIRO ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.012091 -89.183486 "*0200200102004" "02-002-0010-22" 1712 "1-Yes" "ALEXANDER COUNTY"
"36" "0200200500001" "020020050260001" "Egyptian Sr High School          " "00" 25.4 103 0 59.2 NA NA NA NA NA NA NA NA "EGYPTIAN SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.228318 -89.324355 "*0200200500001" "02-002-0050-26" 1712 "2-No" "ALEXANDER COUNTY"
"37" "0200200501001" "020020050261001" "Egyptian Jr High School          " "01" 18.3 66 0 62.5 NA NA NA NA NA NA NA NA "EGYPTIAN JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.2278 -89.3244 "*0200200501001" "02-002-0050-26" 1712 "2-No" "ALEXANDER COUNTY"
"38" "0200200502002" "020020050262002" "Egyptian Elem School             " "02" 20.3 256 0.3 45.9 0 10.5 63.2 26.3 2.6 10.5 71.1 15.8 "EGYPTIAN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.2278 -89.3244 "*0200200502002" "02-002-0050-26" 1712 "1-Yes" "ALEXANDER COUNTY"
"39" "0204400100001" "020440010260001" "Goreville High School            " "00" 0 149 0 33 NA NA NA NA NA NA NA NA "GOREVILLE HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.554012 -88.978649 "*0204400100001" "02-044-0010-26" 1715 "2-No" "JOHNSON COUNTY"
"40" "0204400102001" "020440010262001" "Goreville Elementary School      " "02" 0.4 406 0 40.5 0 22.7 59.1 18.2 0 13.6 72.7 13.6 "GOREVILLE ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.553187 -88.978212 "*0204400102001" "02-044-0010-26" 1715 "1-Yes" "JOHNSON COUNTY"
"41" "0204403202003" "020440320032003" "New Simpson Hill Dist 32         " "02" 0 235 0.4 57.5 0 18.5 40.7 40.7 0 0 77.8 22.2 "NEW SIMPSON HILL DIST 32" "Illinois" "2-No" "2-No" 37.513605 -88.831255 "*0204403202003" "02-044-0320-03" 1715 "1-Yes" "JOHNSON COUNTY"
"42" "0204404302001" "020440430032001" "Buncombe Cons School             " "02" 0 35 0 54.2 NA NA NA NA NA NA NA NA "BUNCOMBE CONS SCHOOL" "Illinois" "2-No" "2-No" 37.470975 -88.978213 "*0204404302001" "02-044-0430-03" 1715 "1-Yes" "JOHNSON COUNTY"
"43" "0204405502001" "020440550022001" "Vienna Elem School Dist 55       " "02" 0.2 380 1.2 52 0 11.4 72.7 15.9 0 2.3 70.5 27.3 "VIENNA ELEM SCHOOL DIST 55" "Illinois" "2-No" "2-No" 37.412615 -88.89498 "*0204405502001" "02-044-0550-02" 1715 "1-Yes" "JOHNSON COUNTY"
"44" "0204406402001" "020440640022001" "Cypress Elem School              " "02" 0 86 0 44 0 13.3 60 26.7 0 0 80 20 "CYPRESS ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.371963 -89.020965 "*0204406402001" "02-044-0640-02" 1715 "1-Yes" "JOHNSON COUNTY"
"45" "0204413300001" "020441330170001" "Vienna High School               " "00" 0.3 312 0.3 49.7 NA NA NA NA NA NA NA NA "VIENNA HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.420552 -88.895053 "*0204413300001" "02-044-1330-17" 1715 "2-No" "JOHNSON COUNTY"
"46" "0206100100001" "020610010260001" "Massac County High School        " "00" 8.7 589 0 46.2 NA NA NA NA NA NA NA NA "MASSAC COUNTY HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.182743 -88.722153 "*0206100100001" "02-061-0010-26" 1715 "2-No" "MASSAC COUNTY"
"47" "0206100101001" "020610010261001" "Massac Jr High School            " "01" 10 260 0 57 NA NA NA NA NA NA NA NA "MASSAC JR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.185586 -88.719949 "*0206100101001" "02-061-0010-26" 1715 "2-No" "MASSAC COUNTY"
"48" "0206100102001" "020610010262001" "Jefferson Elem School            " "02" 0 132 0 24.6 0 0 46.2 53.8 0 0 46.2 53.8 "JEFFERSON ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.265368 -88.702788 "*0206100102001" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"49" "0206100102002" "020610010262002" "Franklin Elem School             " "02" 1 162 0 29.9 0 6.9 44.8 48.3 0 6.9 48.3 44.8 "FRANKLIN ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.203998 -88.770489 "*0206100102002" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"50" "0206100102003" "020610010262003" "Metropolis Elem School           " "02" 9.3 569 0 71.6 0 18.7 56 25.3 0 2.7 62.7 34.7 "METROPOLIS ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.153057 -88.722218 "*0206100102003" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"51" "0206100102006" "020610010262006" "Unity Elem School                " "02" 2.9 135 0 44.3 0 26.7 53.3 20 0 13.3 73.3 13.3 "UNITY ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.15971 -88.61932 "*0206100102006" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"52" "0206100102010" "020610010262010" "Brookport Elementary School      " "02" 11.1 186 0 74.2 4.8 14.3 52.4 28.6 4.8 4.8 61.9 28.6 "BROOKPORT ELEMENTARY SCHOOL" "Illinois" "2-No" "2-No" 37.124891 -88.629482 "*0206100102010" "02-061-0010-26" 1715 "1-Yes" "MASSAC COUNTY"
"53" "0206103800001" "020610380260001" "Joppa Jr & Sr High School        " "00" 0 65 0 56.9 NA NA NA NA NA NA NA NA "JOPPA JR & SR HIGH SCHOOL" "Illinois" "2-No" "2-No" 37.21278 -88.845329 "*0206103800001" "02-061-0380-26" 1715 "2-No" "MASSAC COUNTY"
"54" "0206103802001" "020610380262001" "Maple Grove Elem School          " "02" 0.5 153 0 55.2 0 22.2 61.1 16.7 0 11.1 61.1 27.8 "MAPLE GROVE ELEM SCHOOL" "Illinois" "2-No" "2-No" 37.229129 -88.858388 "*0206103802001" "02-061-0380-26" 1715 "1-Yes" "MASSAC COUNTY"
