"schoolid" "black11" "size11" "lep11" "lowinc11" "rwarn" "rbelow" "rmeet" "rexceed" "mwarn" "mbelow" "mmeet" "mexceed" "rwarnp" "rbelowp" "rmeetp" "rexceedp" "mwarnp" "mbelowp" "mmeetp" "mexceedp" "latitude" "longitude" "dmin" "dmax" "rad1" "rad2" "rad5" "rad10" "rmex11" "mmex11" "rmex09" "mmex09"
"2" 100100102002 0 244 0 38 3.4 17.2 37.9 41.4 0 6.9 65.5 27.6 0 20 46.7 33.3 0 3.3 56.7 40 39.818143 -91.248191 45.8196731512295 242.118024289224 0 0 0 0 79.3 93.1 80 96.7
"4" 100100202002 0 334 0 30.2 0 6.8 54.5 38.6 0 2.3 61.4 36.4 0 15.2 60.9 23.9 0 2.2 69.6 28.3 39.886022 -91.10816 37.3775302862056 233.625448962154 0 0 0 0 93.1 97.8 84.8 97.9
"8" 100100302008 0 79 0 44.9 1.8 30.4 51.8 16.1 3.6 14.3 62.5 19.6 0 21.7 58 20.3 0 10.1 79.7 10.1 40.19445 -91.036815 34.5893131389696 215.72314364269 0 0 0 0 67.9 82.1 78.3 89.8
"11" 100100402004 0 87 0 34.9 0 13.9 48.6 37.5 0 9.7 61.1 29.2 0 18.5 49.2 32.3 0 4.6 55.4 40 40.111317 -91.367053 50.2773188047732 232.903289903413 0 0 0 0 86.1 90.3 81.5 95.4
"22" 100117202019 8.5 989 0.2 52.7 0.6 23.6 46.7 29.1 1.3 16 62.8 20 0.8 22.3 48.4 28.5 0.6 14.4 59.9 25.1 39.930076 -91.366254 50.2651793840029 240.950336335451 0 0 0 0 75.8 82.8 76.9 85
"24" 107500302001 0.9 190 0 45.9 0 7.7 53.8 38.5 0 0 69.2 30.8 0 5.9 64.7 29.4 0 0 82.4 17.6 39.440346 -90.867238 46.3801722510943 249.378522011099 0 0 0 0 92.3 100 94.1 100
"27" 107500402001 4.8 128 0 59.9 0 38.7 38.7 22.6 0 6.5 74.2 19.4 0 34.9 48.8 16.3 2.3 27.3 50 20.5 39.70981 -90.725187 26.653095190218 229.911798725786 0 0 0 0 61.3 93.6 65.1 70.5
"30" 107501002010 0 520 0 52 0 20.5 39.8 39.8 0 7.2 63.9 28.9 0 19.8 59.3 21 0 14.8 74.1 11.1 39.595953 -90.803206 35.4675966913864 238.693514530975 0 0 0 0 79.6 92.8 80.3 85.2
"32" 107501201001 0 179 0.5 51.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39.70304 -91.147927 44.1541202711337 244.45227136053 0 0 0 0 NA NA NA NA
"33" 107501202001 0 226 0.8 47 0 27.5 47.1 25.5 2 10 68 20 0 36 48 16 0 24 60 16 39.697583 -91.044594 39.6919523453727 241.168740320528 0 0 0 0 72.6 88 64 76
"35" 200200102004 83.3 235 0 99.6 2.8 58.3 36.1 2.8 0 19.4 75 5.6 NA NA NA NA NA NA NA NA 37.012091 -89.183486 123.455544567816 372.775573559726 0 0 0 0 38.9 80.6 NA NA
"38" 200200502002 20.3 256 0.3 45.9 0 10.5 63.2 26.3 2.6 10.5 71.1 15.8 2.8 16.7 61.1 19.4 2.8 5.6 77.8 13.9 37.2278 -89.3244 106.663511275793 359.452440050807 0 0 0 0 89.5 86.9 80.5 91.7
"40" 204400102001 0.4 406 0 40.5 0 22.7 59.1 18.2 0 13.6 72.7 13.6 0 31.9 48.9 19.1 2.1 19.1 76.6 2.1 37.553187 -88.978212 98.0440396132774 334.090436406733 0 0 0 0 77.3 86.3 68 78.7
"41" 204403202003 0 235 0.4 57.5 0 18.5 40.7 40.7 0 0 77.8 22.2 5.6 25 44.4 25 2.8 16.7 47.2 33.3 37.513605 -88.831255 105.456185271046 335.695964281581 0 0 0 0 81.4 100 69.4 80.5
"42" 204404302001 0 35 0 54.2 NA NA NA NA NA NA NA NA 0 40 60 0 0 10 90 0 37.470975 -88.978213 102.415203601249 339.708810845929 0 0 0 0 NA NA 60 90
"43" 204405502001 0.2 380 1.2 52 0 11.4 72.7 15.9 0 2.3 70.5 27.3 2.6 17.9 43.6 35.9 0 12.8 51.3 35.9 37.412615 -88.89498 108.421019243198 343.066188354154 0 0 0 0 88.6 97.8 79.5 87.2
"44" 204406402001 0 86 0 44 0 13.3 60 26.7 0 0 80 20 0 7.1 28.6 64.3 0 0 28.6 71.4 37.371963 -89.020965 106.465244579222 346.821616760231 0 0 0 0 86.7 100 92.9 100
"48" 206100102001 0 132 0 24.6 0 0 46.2 53.8 0 0 46.2 53.8 0 17.6 47.1 35.3 0 0 41.2 58.8 37.265368 -88.702788 122.988165357946 351.9396640452 0 0 0 0 100 100 82.4 100
"49" 206100102002 1 162 0 29.9 0 6.9 44.8 48.3 0 6.9 48.3 44.8 0 16 56 28 0 4 44 52 37.203998 -88.770489 123.977993432923 356.548531254662 0 0 0 0 93.1 93.1 84 96
"50" 206100102003 9.3 569 0 71.6 0 18.7 56 25.3 0 2.7 62.7 34.7 0 19.4 62.9 17.7 0 6.5 66.1 27.4 37.153057 -88.722218 128.38819229285 359.768137511878 0 0 0 0 81.3 97.4 80.6 93.5
"51" 206100102006 2.9 135 0 44.3 0 26.7 53.3 20 0 13.3 73.3 13.3 0 0 31.3 68.8 0 0 6.3 93.8 37.15971 -88.61932 131.540937709214 358.775334676017 0 0 0 0 73.3 86.6 100.1 100.1
"52" 206100102010 11.1 186 0 74.2 4.8 14.3 52.4 28.6 4.8 4.8 61.9 28.6 0 33.3 56.7 10 0 10 73.3 16.7 37.124891 -88.629482 133.061586279406 361.220940190621 0 0 0 0 81 90.5 66.7 90
"54" 206103802001 0.5 153 0 55.2 0 22.2 61.1 16.7 0 11.1 61.1 27.8 0 23.1 46.2 30.8 0 3.8 65.4 30.8 37.229129 -88.858388 119.695093324452 355.384745331631 0 0 0 0 77.8 88.9 77 96.2
"56" 207710002004 18 194 0 82.8 5.7 34.3 45.7 14.3 0 17.1 82.9 0 0 28.1 37.5 34.4 3.1 34.4 46.9 15.6 37.271055 -89.09775 109.955760346716 354.358637290464 0 0 0 0 60 82.9 71.9 62.5
"58" 207710102005 59.9 428 0 85.3 2.2 50 45.7 2.2 2.2 30.4 58.7 8.7 2.1 57.4 36.2 4.3 0 25.5 68.1 6.4 37.133908 -89.169866 116.25112308863 364.348420906832 0 0 0 0 47.9 67.4 40.5 74.5
"59" 209101602001 0 76 0 35.1 10 30 50 10 10 10 70 10 0 28.6 57.1 14.3 0 14.3 71.4 14.3 37.510691 -89.041757 98.1008856514086 337.523844641302 0 0 0 0 60 80 71.4 85.7
"62" 209101702002 0.3 276 14.9 66.1 0 15.4 74.4 10.3 0 12.8 69.2 17.9 3 30.3 42.4 24.2 0 12.1 69.7 18.2 37.537178 -89.255936 89.7729296455364 337.75071107718 0 0 0 0 84.7 87.1 66.6 87.9
"64" 209103702002 0.6 116 0.6 45.8 1.1 29 46.2 23.7 0 9.7 67.7 22.6 3 33.3 39.4 24.2 0 17.9 65.7 16.4 37.461066 -89.252097 94.333092791455 342.877092950732 0 0 0 0 69.9 90.3 63.6 82.1
"66" 209104302001 0.3 332 0.3 48.7 0 19 47.6 33.3 0 7.1 71.4 21.4 0 31.1 48.9 20 0 22.2 57.8 20 37.450411 -89.275071 94.3151604101957 343.836060767249 0 0 0 0 80.9 92.8 68.9 77.8
"69" 209106602001 0 112 0 49 NA NA NA NA NA NA NA NA 8.7 30.4 47.8 13 4.3 13 69.6 13 37.366908 -89.161823 102.470837071113 348.400022651828 0 0 0 0 NA NA 60.8 82.6
"73" 209108402004 0 53 0 70 0 23.1 61.5 15.4 0 7.7 69.2 23.1 0 28.6 66.7 4.8 0 23.8 71.4 4.8 37.629769 -89.500771 77.4722286045367 334.292326453355 0 0 0 0 76.9 92.3 71.5 76.2
"74" 209108402005 0 44 0 84 8.3 33.3 41.7 16.7 0 16.7 41.7 41.7 0 40 55 5 0 5 60 35 37.317071 -89.436999 98.4934035594903 354.62306623595 0 0 0 0 58.4 83.4 60 95
"77" 300300102001 7.8 192 0 46.8 3.2 29 38.7 29 0 16.1 77.4 6.5 0 31.8 54.5 13.6 0 13.6 63.6 22.7 38.92409 -89.278604 52.0203205231887 244.642529594517 0 0 0 0 67.7 83.9 68.1 86.3
"80" 300300202003 3 658 0 47.4 0.9 22.2 44.4 32.4 0.9 7.4 68.5 23.1 1.2 28.2 41.2 29.4 2.4 14.1 65.9 17.6 38.89897 -89.396352 45.5299794272404 248.057596674049 0 0 0 0 76.8 91.6 70.6 83.5
"81" 300300202004 0 184 0 61.4 0 5 60 35 0 0 40 60 0 27.3 59.1 13.6 0 13.6 50 36.4 38.828509 -89.539909 36.5007810820921 254.998773407227 0 0 0 0 95 100 72.7 86.4
"82" 300300202005 0 159 0 49 0 14.3 47.6 38.1 0 0 66.7 33.3 0 15.8 63.2 21.1 0 10.5 73.7 15.8 38.994894 -89.572956 40.9003014597289 244.658699299473 0 0 0 0 85.7 100 84.3 89.5
"84" 302501002002 1 456 0 53.3 0 31.3 42.2 26.6 0 15.6 59.4 25 0 7.5 60.4 32.1 0 3.8 60.4 35.8 39.054598 -88.744891 56.3750113553943 229.647062016215 0 0 0 0 68.8 84.4 92.5 96.2
"86" 302502002003 0 127 0 52.4 0 9.1 22.7 68.2 4.5 9.1 50 36.4 0 26.1 39.1 34.8 0 4.3 43.5 52.2 39.188186 -88.784515 46.9208426053892 220.919335054452 0 0 0 0 90.9 86.4 73.9 95.7
"88" 302503002002 0 190 0 41.5 0 11.5 34.6 53.8 0 7.7 38.5 53.8 3.3 3.3 46.7 46.7 0 0 60 40 39.05799 -88.38234 62.4435105909077 226.992615440606 0 0 0 0 88.4 92.3 93.4 100
"91" 302504002002 0.4 500 1.3 55 0.6 18.8 50 30.6 0 6.5 70 23.5 0 19.8 51.1 29.1 0.5 8.2 67 24.2 39.067745 -88.548904 58.214506521993 227.243814801539 0 0 0 0 80.6 93.5 80.2 91.2
"92" 302504002004 1.3 38 0 62.7 0 29.4 41.2 29.4 0 11.8 76.5 11.8 0 31.6 57.9 10.5 0 15.8 73.7 10.5 38.924963 -88.663395 66.0038128621283 237.832112349873 0 0 0 0 70.6 88.3 68.4 84.2
"97" 302505002002 0 552 0 11.4 0 6 42.2 51.8 0 0 43.4 56.6 0 7.5 48.4 44.1 0 5.4 60.2 34.4 39.132578 -88.469062 55.751843727087 222.305296039994 0 0 0 0 94 100 92.5 94.6
"100" 302620102001 1.6 148 0 55.1 0 14.8 59.3 25.9 0 11.1 66.7 22.2 2.8 22.2 47.2 27.8 2.8 13.9 55.6 27.8 38.992045 -88.959803 59.8940289372371 236.032782009483 0 0 0 0 85.2 88.9 75 83.4
"103" 302620202001 0 212 0 52.4 0 31.3 50 18.8 0 6.3 59.4 34.4 0 27.8 50 22.2 0 8.3 66.7 25 39.02468 -88.854383 57.7367312755484 232.711344642417 0 0 0 0 68.8 93.8 72.2 91.7
"107" 302620302008 0 310 0 56.9 0.8 21 57.1 21 0 14.3 79 6.7 0.8 30.3 52.9 16 0.8 17.6 73.9 7.6 38.975609 -89.103068 61.7326439285375 238.836503533016 0 0 0 0 78.1 85.7 68.9 81.5
"109" 302620402001 0 307 0 57.6 0 35 55 10 0 14.6 78 7.3 2.6 33.3 33.3 30.8 0 15.4 51.3 33.3 39.140569 -89.113359 50.6035784090711 227.908245720213 0 0 0 0 65 85.3 64.1 84.6
"114" 400410002003 1.4 541 1.7 30.2 0 7.8 45.6 46.7 0 4.4 67.8 27.8 0 24.3 40.5 35.1 0 8.1 67.6 24.3 42.365638 -88.894531 13.2476691182574 267.077386415998 0 0 0 0 92.3 95.6 75.6 91.9
"115" 400410002004 3 224 3 31.4 0 13.3 46.7 40 0 4.4 71.1 24.4 0 9.3 60.5 30.2 0 7 72.1 20.9 42.256997 -88.72434 18.9252000401538 262.267880341158 0 0 0 0 86.7 95.5 90.7 93
"116" 400410002005 2.1 614 23.6 54.8 2.1 27.1 42.7 28.1 1 12.5 66.7 19.8 1 31 50 18 0 17.5 68.9 13.6 42.275443 -88.830668 15.1663837563188 261.936359247477 0 0 0 0 70.8 86.5 68 82.5
"117" 400410002007 6.3 279 11.3 61.1 0 12.5 50 37.5 0 4.2 62.5 33.3 0 13.3 55 31.7 0 8.3 61.7 30 42.25979 -88.853094 14.0933817821313 260.582673815552 0 0 0 0 87.5 95.8 86.7 91.7
"118" 400410002008 2.9 706 29.3 64.4 0.7 38.7 47.4 13.1 2.9 19.9 70.6 6.6 3.4 38.5 41.9 16.2 2.7 20.7 65.3 11.3 42.250066 -88.847701 14.4528359512345 260.011372060538 0 0 0 0 60.5 77.2 58.1 76.6
"119" 400410002009 3 560 18.2 44.6 1.1 17.9 43.2 37.9 0 14.7 56.8 28.4 0 12.5 48.3 39.2 0.8 3.4 55.5 40.3 42.246978 -88.823669 15.6847223738883 260.145232379578 0 0 0 0 81.1 85.2 87.5 95.8
"120" 400410002010 2.6 701 21.7 36.8 1 17.1 47.6 34.3 0 8.6 58.1 33.3 0 14.2 53.1 32.7 0 8.1 60.4 31.5 42.285118 -88.861413 13.5916080220953 262.152912033363 0 0 0 0 81.9 91.4 85.8 91.9
"123" 400420002001 0.5 166 20 31.2 0 6.9 55.2 37.9 0 3.4 62.1 34.5 2.9 45.7 28.6 22.9 0 19.4 72.2 8.3 42.400906 -88.746761 21.1231377122442 271.455506739739 0 0 0 0 93.1 96.6 51.5 80.5
"124" 400420002002 1.3 112 4.6 23.2 0 14.3 45.2 40.5 0 0 47.6 52.4 0 25 55.6 19.4 0 2.8 50 47.2 42.446601 -88.869684 17.4288774992931 272.809496346801 0 0 0 0 85.7 100 75 97.2
"125" 400420002004 0.3 263 10.9 38.3 0 23.5 58.8 17.6 0 8.8 73.5 17.6 1.6 32.3 51.6 14.5 1.6 12.9 72.6 12.9 42.368801 -88.821519 16.7536548303549 268.270113336309 0 0 0 0 76.4 91.1 66.1 85.5
"129" 410112202005 6 342 7.1 69.4 0 22.6 49.1 28.3 0 7.5 67.9 24.5 1.7 25.4 50.8 22 3.4 17.2 56.9 22.4 42.311938 -89.061007 4.00233576211678 261.417286894367 0 0 1 2 77.4 92.4 72.8 79.3
"130" 410112202006 4.9 346 6 70.5 0 39.3 37.7 23 1.6 16.1 71 11.3 1.7 52.5 39 6.8 0 32.2 59.3 8.5 42.335596 -89.037791 5.92491997295174 263.280380486669 0 0 0 2 60.7 82.3 45.8 67.8
"132" 410112202008 2.8 359 8.8 51.4 0 30.6 58.1 11.3 3.2 16.1 71 9.7 2.9 30 41.4 25.7 1.4 18.8 69.6 10.1 42.337678 -89.019459 6.75644134193721 263.638140250047 0 0 0 2 69.4 80.7 67.1 79.7
"133" 410112202010 1.1 399 0.9 34.1 0 15.4 50.8 33.8 0 6.2 76.9 16.9 1.3 16.9 54.5 27.3 1.3 9.1 66.2 23.4 42.369534 -89.04593 7.39229773353335 265.467658733311 0 0 0 1 84.6 93.8 81.8 89.6
"134" 410112202011 4.9 387 4.7 61.7 1.4 17.4 55.1 26.1 1.4 11.4 74.3 12.9 1.4 40 41.4 17.1 2.9 18.6 65.7 12.9 42.324325 -89.047843 5.04089707830112 262.404300229412 0 0 0 2 81.2 87.2 58.5 78.6
"135" 410112202013 3.2 429 1.9 51.7 0.6 22.6 45.2 31.6 1.3 10.3 54.8 33.5 0.8 23.3 34.1 41.9 2.3 15.5 50.4 31.8 42.348504 -89.047968 6.175609849934 264.029104484783 0 0 0 2 76.8 88.3 76 82.2
"136" 410112202014 3.1 312 5.7 27.6 0 12.3 50.9 36.8 1.8 3.5 68.4 26.3 0 19.3 42.1 38.6 0 15.8 68.4 15.8 42.358667 -89.035025 7.13925951094633 264.864081005141 0 0 0 1 87.7 94.7 80.7 84.2
"139" 410113102001 0.8 432 0.2 16.1 0 10.6 44.7 44.7 0 3.5 57.8 38.7 0 12.2 43.9 43.9 0 3.4 49.8 46.8 42.420726 -89.011218 11.3252746953082 269.316610422502 0 0 0 0 89.4 96.5 87.8 96.6
"142" 410113302001 1.9 383 0 5.4 0 9.3 46.5 44.2 0 2.3 55.8 41.9 0 8 42.7 49.3 0 4 42.7 53.3 42.47459 -89.001568 14.8325011037369 273.051507648436 0 0 0 0 90.7 97.7 92 96
"143" 410113402001 0 104 0 25.9 0 0 81.3 18.8 0 0 81.3 18.8 0 33.3 47.6 19 0 9.5 71.4 19 42.444137 -89.194921 11.7873941323308 268.902744236057 0 0 0 0 100.1 100.1 66.6 90.4
"146" 410114002002 2.3 490 0.8 22.7 0 14.7 46.7 38.6 0 1.6 54.3 44 0 11.9 46.3 41.8 0 4 51.4 44.6 42.453714 -89.054305 12.4988042225267 271.040153098252 0 0 0 0 85.3 98.3 88.1 96
"156" 410120502014 12.7 531 49.2 92.7 0 46.3 46.3 7.4 1.9 20.4 64.8 13 3.9 56.6 31.6 7.9 5.2 32.5 57.1 5.2 42.257228 -89.114538 1.76838620552825 257.120072598194 0 2 2 2 53.7 77.8 39.5 62.3
"157" 410120502016 58.9 192 5.2 95.2 10 46.7 40 3.3 13.3 33.3 50 3.3 5.9 60.8 29.4 3.9 9.8 35.3 51 3.9 42.250128 -89.093801 2.59442225814301 256.877931803314 0 0 2 2 43.3 53.3 33.3 54.9
"158" 410120502017 22.7 413 3.5 67.4 1.3 36.4 50.6 11.7 2.6 26 58.4 13 2.7 32.9 49.3 15.1 1.4 27.4 47.9 23.3 42.280932 -89.049444 3.97702654963707 259.468138402766 0 0 1 2 62.3 71.4 64.4 71.2
"159" 410120502018 16.9 432 3 48.2 0 10.7 50 39.3 0 11.9 51.2 36.9 1 18.4 53.4 27.2 0 8.7 57.3 34 42.288548 -89.015332 5.74399342541219 260.389469079579 0 0 0 2 89.3 88.1 80.6 91.3
"160" 410120502019 19.8 348 3.1 59.3 0 35.8 43.4 20.8 0 17 58.5 24.5 0 38.2 43.6 18.2 0 18.2 65.5 16.4 42.30643 -89.035464 5.00822097028061 261.347761639058 0 0 0 2 64.2 83 61.8 81.9
"161" 410120502020 4.3 194 5.2 54.1 0 27 47.3 25.7 4.1 10.8 59.5 25.7 0 26.8 43.9 29.3 0 13.4 68.3 18.3 42.234417 -88.948042 9.26860994639049 257.612889395448 0 0 0 2 73 85.2 73.2 86.6
"162" 410120502022 49.5 366 21.4 94.1 1.4 50 38.9 9.7 6.7 26.7 53.3 13.3 4.2 53.5 33.8 8.5 4.2 31 54.9 9.9 42.310834 -89.103842 2.38120456526676 260.853521726133 0 1 1 2 48.6 66.6 42.3 64.8
"163" 410120502024 72.8 559 0.3 93.4 9.8 63.9 21.3 4.9 8.1 30.6 54.8 6.5 9.3 48 33.3 9.3 2.6 32.9 59.2 5.3 42.274617 -89.113867 0.814883919892288 258.299685604755 1 1 2 2 26.2 61.3 42.6 64.5
"164" 410120502027 14.9 356 5.6 67.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 42.215646 -89.058305 3.6261646287771 254.975803160589 0 0 1 2 NA NA NA NA
"165" 410120502029 13.2 271 19.9 75.6 4.2 29.2 37.5 29.2 2.1 8.3 56.3 33.3 4.3 30.4 47.8 17.4 0 21.7 60.9 17.4 42.259025 -89.014891 5.94221740782821 258.414164162983 0 0 0 2 66.7 89.6 65.2 78.3
"166" 410120502034 76.5 279 0.9 96.6 3.6 50 32.1 14.3 7.1 10.7 60.7 21.4 0 44.4 48.1 7.4 0 22.2 66.7 11.1 42.281001 -89.094823 1.65725432675829 258.945217781933 0 1 2 2 46.4 82.1 55.5 77.8
"167" 410120502037 13.5 498 40.9 93.9 2.6 56.6 35.5 5.3 5.2 27.3 63.6 3.9 3.2 47.6 39.7 9.5 1.6 25.4 65.1 7.9 42.234738 -89.036795 4.76517895698306 256.517176952539 0 0 1 2 40.8 67.5 49.2 73
"168" 410120502039 15.2 309 16 69.3 3.9 33.3 45.1 17.6 0 23.5 54.9 21.6 0 29.6 50 20.4 3.7 14.8 68.5 13 42.27366 -89.037903 4.59557893666487 259.117179673214 0 0 1 2 62.7 76.5 70.4 81.5
"169" 410120502040 30.3 343 27.9 94.8 6.6 47.5 36.1 9.8 6.1 31.8 54.5 7.6 9.4 54.7 29.7 6.3 9.2 36.9 49.2 4.6 42.259884 -89.087832 2.48905077101435 257.603451218607 0 1 2 2 45.9 62.1 36 53.8
"170" 410120502041 16.2 330 62.4 97 1.6 62.9 29 6.5 8.1 24.2 56.5 11.3 5.7 65.7 28.6 0 2.8 32.4 57.7 7 42.247437 -89.115783 1.82557327150736 256.446181044713 0 2 2 2 35.5 67.8 28.6 64.7
"171" 410120502043 54.1 287 7 97.6 5.9 51 35.3 7.8 2 21.6 66.7 9.8 4.2 49.3 40.8 5.6 1.4 33.8 57.7 7 42.282784 -89.134823 0.405986003797095 258.617858687493 1 1 2 2 43.1 76.5 46.4 64.7
"172" 410120502046 13 351 33.5 96.4 2.4 46.8 42.7 8.1 5.6 16.8 60.8 16.8 3.9 34.1 47.3 14.7 0 14.7 65.1 20.2 42.225242 -89.058293 3.59719037146417 255.620597047475 0 0 1 2 50.8 77.6 62 85.3
"173" 410120502047 14.8 445 45.7 96.1 1.4 55.1 33.3 10.1 2.9 23.2 58 15.9 3.7 45.7 46.9 3.7 2.4 19.3 65.1 13.3 42.261065 -89.065852 3.42857824824062 257.938836896185 0 0 2 2 43.4 73.9 50.6 78.4
"175" 410120502054 12.6 429 7.2 75.5 0 28.6 39 32.5 0 9.1 54.5 36.4 0.9 30.2 50.9 17.9 2.8 16 66 15.1 42.248046 -89.037332 4.98130183720117 257.40403463736 0 0 1 2 71.5 90.9 68.8 81.1
"176" 410120502056 13.5 479 49.8 82.1 4.3 44.1 31.2 20.4 3.2 25.8 54.8 16.1 2.4 25.6 41.5 30.5 2.4 14.6 67.1 15.9 42.29844 -89.015413 5.84105648706604 261.052350197134 0 0 0 2 51.6 70.9 72 83
"177" 410120502059 17.8 263 5 71.3 4.4 31.1 44.4 20 2.2 11.1 64.4 22.2 0 30.4 50 19.6 1.8 30.4 53.6 14.3 42.248332 -89.016634 5.99018040219898 257.675559994377 0 0 0 2 64.4 86.6 69.6 67.9
"178" 410120502062 33.4 352 4.1 85.5 0 33.3 46.7 20 0 15.6 66.7 17.8 1.8 30.9 52.7 14.5 0 22.2 59.3 18.5 42.287499 -89.076651 2.62437949155402 259.591297852725 0 0 1 2 66.7 84.5 67.2 77.8
"179" 410120502063 28.1 330 2.7 84.1 1.7 28.8 49.2 20.3 3.4 25.4 61 10.2 0 44.7 40.4 14.9 0 19.1 57.4 23.4 42.295273 -89.087873 2.23997572188079 259.985745975003 0 1 1 2 69.5 71.2 55.3 80.8
"180" 410120502064 24.3 322 1.9 87 6.8 29.5 52.3 11.4 4.5 11.4 63.6 20.5 13 42.6 33.3 11.1 3.7 44.4 38.9 13 42.309481 -89.086365 2.86848652905713 260.95987323398 0 0 1 2 63.7 84.1 44.4 51.9
"181" 410120502066 23.6 328 6.3 85.3 8.9 41.1 41.1 8.9 1.8 33.9 51.8 12.5 5.3 36.8 43.4 14.5 5.3 26.3 48.7 19.7 42.242125 -89.047687 4.3463852118646 256.881715926319 0 0 2 2 50 64.3 57.9 68.4
"183" 410120502078 9.1 724 1.3 32 1.2 1.2 20 77.6 1.2 1.2 18.8 78.8 0 0 23.6 76.4 0 1.1 14.6 84.3 42.259253 -89.103077 1.94707725671674 257.386303300339 0 1 2 2 97.6 97.6 100 98.9
"184" 410120502080 71.9 227 3.4 97.8 0 64.3 31 4.8 4.8 42.9 47.6 4.8 9.5 52.4 33.3 4.8 7.1 45.2 47.6 0 42.259103 -89.103765 1.9330619472667 257.368371815432 0 1 2 2 35.8 52.4 38.1 47.6
"185" 410120502082 7.5 544 49.1 79.2 1.9 39.4 47.1 11.5 3.8 12.5 73.1 10.6 3.7 39.8 44.4 12 0 19.3 67 13.8 42.290627 -89.033698 4.82731926612529 260.307220690617 0 0 1 2 58.6 83.7 56.4 80.8
"186" 410120502084 80.8 220 1.9 97.7 3 51.5 36.4 9.1 12.1 9.1 57.6 21.2 11.7 71.7 15 1.7 3.3 41.7 55 0 42.277997 -89.11856 0.490899720792286 258.475033819687 1 1 2 2 45.5 78.8 16.7 55
"187" 410120502085 33.9 293 1.2 60.7 0 23.3 53.5 23.3 0 23.3 53.5 23.3 2.6 38.5 35.9 23.1 2.6 17.9 59 20.5 42.334981 -89.098205 4.01197165341806 262.544483966452 0 0 1 2 76.8 76.8 59 79.5
"193" 410132002004 1.3 194 9 70 2.5 31.6 39.2 26.6 1.3 15.2 68.4 15.2 2 30.6 49 18.4 0 19.2 70.7 10.1 42.491866 -89.050672 15.082419470361 273.652244541367 0 0 0 0 65.8 83.6 67.4 80.8
"197" 410132102002 0.3 312 0.3 25.3 0 14.1 42.3 43.7 1.4 5.6 63.4 29.6 0 9.7 52.8 37.5 0 2.8 50 47.2 42.3103 -89.3614 12.1369744175653 258.268022853263 0 0 0 0 86 93 90.3 97.2
"200" 410132202001 0 269 0 29.8 0 16.7 35.7 47.6 0 0 61.9 38.1 0 22.5 52.5 25 0 2.5 72.5 25 42.432981 -89.333977 14.8876693146804 266.859301222715 0 0 0 0 83.3 100 77.5 97.5
"204" 410132302005 1.4 170 1.9 23.4 0 16 47.2 36.8 0 8.5 66 25.5 0 21.3 48.4 30.3 0 4.9 59.8 35.2 42.271785 -89.237698 5.68293690519926 256.796825176667 0 0 0 2 84 91.5 78.7 95
"207" 800830802003 0.3 246 0.3 39.2 1.9 24.1 44.4 29.6 5.6 5.6 53.7 35.2 0 8.3 44.4 47.2 0 0 47.2 52.8 42.148504 -89.739912 31.7192334309714 244.644845746522 0 0 0 0 74 88.9 91.6 100
"210" 800831402002 3.2 401 0 62.9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 42.079667 -90.121388 51.8114866311965 238.88233074359 0 0 0 0 NA NA NA NA
"213" 800839902001 0 53 0 26.7 0 21.4 47.6 31 0 4.8 50 45.2 0 7 46.5 46.5 0 2.3 51.2 46.5 42.009834 -89.883304 41.3880122701751 234.511424853187 0 0 0 0 78.6 95.2 93 97.7
"216" 804311902002 2 462 1.6 34.4 0 10.9 56.5 32.6 0 4.3 56.5 39.1 0 26.1 37 37 0 8.7 60.9 30.4 42.497143 -90.636893 78.4731319234811 268.867082674276 0 0 0 0 89.1 95.6 74 91.3
"219" 804312002002 0 298 8 37 0 24.6 40.4 35.1 0 7 71.9 21.1 0 11.9 57.6 30.5 0 13.6 76.3 10.2 42.425563 -90.441199 67.8305180389177 263.175743570688 0 0 0 0 75.5 93 88.1 86.5
"221" 804320502002 0 170 0 37.8 0 11.5 46.2 42.3 0 0 42.3 57.7 NA NA NA NA NA NA NA NA 42.493847 -89.990959 46.4660747442732 267.642616519492 0 0 0 0 88.5 100 NA NA
"224" 804320602002 0 230 0 40.7 0 14.3 59.5 26.2 0 4.8 76.2 19 4 14 56 26 2 0 76 22 42.351925 -90.008872 45.3087172695103 257.811427403613 0 0 0 0 85.7 95.2 82 98
"227" 804321002003 2.1 200 0.4 41.3 0 12.9 32.3 54.8 0 0 58.1 41.9 0 10.7 50 39.3 0 0 67.9 32.1 42.311892 -90.270788 58.4819545674346 254.979920736928 0 0 0 0 87.1 100 89.3 100
"230" 804321102001 0 82 0 28.1 0 0 58.3 41.7 0 0 75 25 0 21.4 50 28.6 0 14.3 42.9 42.9 42.475064 -90.250823 58.894388774844 266.231304142665 0 0 0 0 100 100 78.6 85.8
"233" 808914502003 16.4 290 15.2 80.9 0 26.2 49.2 24.6 0 9.1 77.3 13.6 0 20.3 59.5 20.3 1.4 12.2 70.3 16.2 42.285575 -89.623922 25.3911658260612 254.681982014198 0 0 0 0 73.8 90.9 79.8 86.5
